,Parea,AvgWid,MaxDep,Alt,Cnd,pH,Fluct,Species,ComaPal,RanuRep,AlisPla,LemnMin
43,0.434081226,0.666382941,0.469181826,0.274962155,0.671494269,0.746882045,0,2,1,0,0,1
44,0.575514169,0.560859647,0.493039545,0.399018423,0.419088336,0.481652278,0,3,0,0,1,1
45,0.281053694,0.611881055,0,0.396627885,0.209132784,0.249494038,0,2,0,0,0,0
46,0.605586896,0.560859647,0.262407024,0.415867798,0.509358657,0.340703735,1,9,0,0,1,1
47,0.661165497,0.316318923,0.575414466,0.413488688,0.678387428,0.670314584,1,5,0,0,1,1
48,0.635914325,0.040956423,0.593176762,0.413524476,0.66949183,0.698728108,3,1,0,0,1,1
49,0.548321114,1,0.336624171,0.413882336,0.701653983,0.746882045,2,0,0,0,0,1
50,0.684727466,0.72460273,0.433691906,0.412235877,0.747438245,0.71887662,3,0,0,0,0,1
51,0.47772052,0.199532751,0.613369194,0.412396978,0.757760084,0.758812913,2,1,0,0,1,1
52,0.564068009,0.513096454,0.529027242,0.412343279,0.723063304,0.515979953,3,4,0,0,1,1
53,0.466910427,0.611881055,0.384824016,0.412038967,0.706074669,0.520246231,2,12,0,0,1,1
54,0.662322141,0.426525727,0.590246136,0.412790748,0.661329229,0.662151874,0,1,0,0,0,1
55,0.756934181,0.254078061,0.800638884,0.413130787,0.512984349,0.55839966,0,2,0,0,0,1
56,0.365483376,0.853227799,0.458714263,0,0.672489912,0.666235721,1,5,0,0,0,1
57,0.448171209,0.426525727,0.535384616,0.395297107,0.321578231,0.304517964,1,12,0,0,1,1
58,0.104863939,0.254078061,0.092519165,0.387590281,0.559186984,0.794352116,2,2,0,0,0,1
59,0.290018098,0.130095142,0.832963402,0.277399601,0.298573317,0.389828077,0,1,0,0,1,1
60,0.949096401,0.924193403,1,0.285945217,0.273409846,0.29540998,3,9,0,0,1,1
61,0.451833517,0.513096454,0.392557687,0.272429888,0.225390538,0.240234675,1,9,0,0,1,1
62,1,0.924193403,0.7067388,0.266595015,0.773900184,0.633424385,0,1,0,0,1,1
63,0.232233925,0.513096454,0.44809491,0.271852425,0.509358657,0.244867563,2,1,0,0,0,1
64,0.395728419,0.387341068,0.7067388,0.281210538,0.56220171,0.380949909,0,27,0,0,1,1
